,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
24,0.553,0.932,-4.683,0.122,0.431,0.0,0.752,0.672,135.572,95.80505,-1.8309348781958639,2.2926698811256907
25,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,99.867,-0.8813859955271219,1.1036561917555414
26,0.678,0.968,-2.556,0.186,0.0145,0.000272,0.668,0.844,104.964,103.80721666666666,-3.004542982278688,2.5452396077362613
27,0.731,0.776,-7.599,0.0357,0.377,1.49e-06,0.178,0.975,100.112,107.03966666666666,-1.1507447403515774,0.4535853518762926
28,0.795,0.931,-6.949,0.0716,0.169,5.56e-05,0.0851,0.971,96.953,111.23966666666666,-1.8452650981044716,0.1040600623785173
29,0.57,0.944,-10.126,0.0332,0.00204,0.00169,0.217,0.95,148.17,114.45745,-1.4759309902885394,-0.8273262955969365
30,0.748,0.856,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031,117.61278333333334,-2.1023663612650973,-0.5821798410934914
31,0.737,0.627,-9.631,0.0911,0.0188,0.00305,0.23,0.598,115.086,121.22096666666667,-0.862780087780514,0.35839388461823835
32,0.687,0.56,-6.399,0.0364,0.133,7.45e-06,0.146,0.32,126.995,124.24921666666667,-0.3373655976426768,-0.5593672684686805
33,0.694,0.935,-3.215,0.105,0.359,0.0,0.0324,0.797,92.478,127.55855,-1.569698799340975,0.294343557169155
34,0.726,0.55,-9.676,0.0445,0.432,0.0,0.155,0.84,102.021,131.16588333333334,-0.28726566506632256,0.5906823969277507
35,0.713,0.768,-9.115,0.0662,0.229,0.0,0.447,0.962,88.012,134.343,-1.3789714202466448,1.72384263110532
36,0.551,0.951,-3.395,0.0717,0.0242,2.91e-06,0.156,0.509,99.992,138.41345,-1.3654856429937827,-0.16949078935713255
37,0.686,0.877,-5.201,0.0373,0.00254,0.000977,0.0791,0.396,117.01,142.98278333333334,-1.1624790510405787,-0.9525251979110563
38,0.704,0.868,-5.808,0.0315,0.0834,0.0,0.206,0.808,131.468,146.11833333333334,-1.7335951768210436,-0.5371534945902243
39,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,149.873,-1.1754890189484888,-0.011245257579364046
40,0.449,0.901,-7.711,0.0526,0.141,0.0675,0.128,0.696,125.148,155.813,-0.6729743673608244,-0.5994956556944372
41,0.557,0.8,-8.477,0.0601,0.00132,0.0012,0.0906,0.582,135.47,159.90255,-0.7665122556691323,-0.9403168090649657
42,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,163.23655,-0.6591835629680861,-1.6911451337056274
