,track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_number_inlist,minutestamp,original_playlist,PC0,PC1
23,19 Dias y 500 Noches - En Directo,0.572,0.899,4,-6.485,1,0.58,0.52,0.0,0.692,0.552,86.472,audio_features,3LXFi1Xk9qJsYXYEjDcuVH,spotify:track:3LXFi1Xk9qJsYXYEjDcuVH,https://api.spotify.com/v1/tracks/3LXFi1Xk9qJsYXYEjDcuVH,https://api.spotify.com/v1/audio-analysis/3LXFi1Xk9qJsYXYEjDcuVH,319053,4,24,91.72126666666666,PCP_Marathon,-2.073567164847903,6.422034379458539
24,Pégate (MTV Unplugged Version)[Radio Edit],0.553,0.932,9,-4.683,0,0.122,0.431,0.0,0.752,0.672,135.572,audio_features,6derJzyW5gcu125FpbsReh,spotify:track:6derJzyW5gcu125FpbsReh,https://api.spotify.com/v1/tracks/6derJzyW5gcu125FpbsReh,https://api.spotify.com/v1/audio-analysis/6derJzyW5gcu125FpbsReh,245027,4,25,95.80505,PCP_Marathon,-1.8309348781958639,2.2926698811256907
25,Tití Me Preguntó,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4,26,99.867,PCP_Marathon,-0.8813859955271219,1.1036561917555414
26,Vente Pa' Ca (feat. Maluma) - A-Class Remix,0.678,0.968,11,-2.556,0,0.186,0.0145,0.000272,0.668,0.844,104.964,audio_features,3lael4kBpLEm0wHxpAoZqh,spotify:track:3lael4kBpLEm0wHxpAoZqh,https://api.spotify.com/v1/tracks/3lael4kBpLEm0wHxpAoZqh,https://api.spotify.com/v1/audio-analysis/3lael4kBpLEm0wHxpAoZqh,236413,4,27,103.80721666666666,PCP_Marathon,-3.004542982278688,2.5452396077362613
27,Mi Bombom,0.731,0.776,10,-7.599,0,0.0357,0.377,1.49e-06,0.178,0.975,100.112,audio_features,29ET4ONM7UGb5fIbLfHoDK,spotify:track:29ET4ONM7UGb5fIbLfHoDK,https://api.spotify.com/v1/tracks/29ET4ONM7UGb5fIbLfHoDK,https://api.spotify.com/v1/audio-analysis/29ET4ONM7UGb5fIbLfHoDK,193947,4,28,107.03966666666666,PCP_Marathon,-1.1507447403515774,0.4535853518762926
28,El Pávido Návido,0.795,0.931,7,-6.949,1,0.0716,0.169,5.56e-05,0.0851,0.971,96.953,audio_features,0sTV1ucJEAj8M15YJQCLsR,spotify:track:0sTV1ucJEAj8M15YJQCLsR,https://api.spotify.com/v1/tracks/0sTV1ucJEAj8M15YJQCLsR,https://api.spotify.com/v1/audio-analysis/0sTV1ucJEAj8M15YJQCLsR,252000,4,29,111.23966666666666,PCP_Marathon,-1.8452650981044716,0.1040600623785173
29,Amor De Estudiante,0.57,0.944,1,-10.126,1,0.0332,0.00204,0.00169,0.217,0.95,148.17,audio_features,3CdlZGFrzrLFqnZZq7OCJl,spotify:track:3CdlZGFrzrLFqnZZq7OCJl,https://api.spotify.com/v1/tracks/3CdlZGFrzrLFqnZZq7OCJl,https://api.spotify.com/v1/audio-analysis/3CdlZGFrzrLFqnZZq7OCJl,193067,4,30,114.45745,PCP_Marathon,-1.4759309902885394,-0.8273262955969365
30,Tacones Rojos,0.748,0.856,11,-3.517,0,0.0348,0.0824,0.0,0.142,0.927,123.031,audio_features,0Be7sopyKMv8Y8npsUkax2,spotify:track:0Be7sopyKMv8Y8npsUkax2,https://api.spotify.com/v1/tracks/0Be7sopyKMv8Y8npsUkax2,https://api.spotify.com/v1/audio-analysis/0Be7sopyKMv8Y8npsUkax2,189320,4,31,117.61278333333334,PCP_Marathon,-2.1023663612650973,-0.5821798410934914
31,Perra,0.737,0.627,9,-9.631,1,0.0911,0.0188,0.00305,0.23,0.598,115.086,audio_features,5Q27cpHUDQPttnB0xH7oBh,spotify:track:5Q27cpHUDQPttnB0xH7oBh,https://api.spotify.com/v1/tracks/5Q27cpHUDQPttnB0xH7oBh,https://api.spotify.com/v1/audio-analysis/5Q27cpHUDQPttnB0xH7oBh,216491,4,32,121.22096666666667,PCP_Marathon,-0.862780087780514,0.35839388461823835
32,Ay Mamá,0.687,0.56,1,-6.399,1,0.0364,0.133,7.45e-06,0.146,0.32,126.995,audio_features,0khVEzctbwmqLvOpg1ecbg,spotify:track:0khVEzctbwmqLvOpg1ecbg,https://api.spotify.com/v1/tracks/0khVEzctbwmqLvOpg1ecbg,https://api.spotify.com/v1/audio-analysis/0khVEzctbwmqLvOpg1ecbg,181695,4,33,124.24921666666667,PCP_Marathon,-0.3373655976426768,-0.5593672684686805
33,Vino Tinto,0.694,0.935,7,-3.215,1,0.105,0.359,0.0,0.0324,0.797,92.478,audio_features,15m2Op4d1ZtX0ScPaDNKcd,spotify:track:15m2Op4d1ZtX0ScPaDNKcd,https://api.spotify.com/v1/tracks/15m2Op4d1ZtX0ScPaDNKcd,https://api.spotify.com/v1/audio-analysis/15m2Op4d1ZtX0ScPaDNKcd,198560,4,34,127.55855,PCP_Marathon,-1.569698799340975,0.294343557169155
34,Paseo,0.726,0.55,0,-9.676,1,0.0445,0.432,0.0,0.155,0.84,102.021,audio_features,6pWeJvzpQR1ihiUSJklOzD,spotify:track:6pWeJvzpQR1ihiUSJklOzD,https://api.spotify.com/v1/tracks/6pWeJvzpQR1ihiUSJklOzD,https://api.spotify.com/v1/audio-analysis/6pWeJvzpQR1ihiUSJklOzD,216440,4,35,131.16588333333334,PCP_Marathon,-0.28726566506632256,0.5906823969277507
35,Tu Calorro,0.713,0.768,0,-9.115,1,0.0662,0.229,0.0,0.447,0.962,88.012,audio_features,0DXI6c9tNWsI4tvUftkQN8,spotify:track:0DXI6c9tNWsI4tvUftkQN8,https://api.spotify.com/v1/tracks/0DXI6c9tNWsI4tvUftkQN8,https://api.spotify.com/v1/audio-analysis/0DXI6c9tNWsI4tvUftkQN8,190627,4,36,134.343,PCP_Marathon,-1.3789714202466448,1.72384263110532
36,Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,0.551,0.951,9,-3.395,1,0.0717,0.0242,2.91e-06,0.156,0.509,99.992,audio_features,33trZRsRCHDPemnACBcLJJ,spotify:track:33trZRsRCHDPemnACBcLJJ,https://api.spotify.com/v1/tracks/33trZRsRCHDPemnACBcLJJ,https://api.spotify.com/v1/audio-analysis/33trZRsRCHDPemnACBcLJJ,244227,4,37,138.41345,PCP_Marathon,-1.3654856429937827,-0.16949078935713255
37,La Revolución Sexual,0.686,0.877,0,-5.201,1,0.0373,0.00254,0.000977,0.0791,0.396,117.01,audio_features,5zHvsFZoCzLmhbRbYDkg42,spotify:track:5zHvsFZoCzLmhbRbYDkg42,https://api.spotify.com/v1/tracks/5zHvsFZoCzLmhbRbYDkg42,https://api.spotify.com/v1/audio-analysis/5zHvsFZoCzLmhbRbYDkg42,274160,4,38,142.98278333333334,PCP_Marathon,-1.1624790510405787,-0.9525251979110563
38,Born to Be Alive - The Original,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,audio_features,3XIEWK1V9n25PS9Vb6axj5,spotify:track:3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/tracks/3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/audio-analysis/3XIEWK1V9n25PS9Vb6axj5,188133,4,39,146.11833333333334,PCP_Marathon,-1.7335951768210436,-0.5371534945902243
39,Take on Me,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2n0FNnk3Mjulyd4Pu9JV7M,spotify:track:2n0FNnk3Mjulyd4Pu9JV7M,https://api.spotify.com/v1/tracks/2n0FNnk3Mjulyd4Pu9JV7M,https://api.spotify.com/v1/audio-analysis/2n0FNnk3Mjulyd4Pu9JV7M,225280,4,40,149.873,PCP_Marathon,-1.1754890189484888,-0.011245257579364046
40,Sweet Child O' Mine,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,audio_features,4MhTFsyqIJnjsOweVcU8ug,spotify:track:4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/tracks/4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/audio-analysis/4MhTFsyqIJnjsOweVcU8ug,356400,4,41,155.813,PCP_Marathon,-0.6729743673608244,-0.5994956556944372
41,Human,0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,audio_features,1sTsuZTdANkiFd7T34H3nb,spotify:track:1sTsuZTdANkiFd7T34H3nb,https://api.spotify.com/v1/tracks/1sTsuZTdANkiFd7T34H3nb,https://api.spotify.com/v1/audio-analysis/1sTsuZTdANkiFd7T34H3nb,245373,4,42,159.90255,PCP_Marathon,-0.7665122556691323,-0.9403168090649657
42,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,43,163.23655,PCP_Marathon,-0.6591835629680861,-1.6911451337056274
43,Rise (Sam Feldt Remix),0.695,0.74,10,-6.97,1,0.0371,0.0155,0.0,0.143,0.455,122.051,audio_features,2PI3dfxZWkaEpBoCJq56RK,spotify:track:2PI3dfxZWkaEpBoCJq56RK,https://api.spotify.com/v1/tracks/2PI3dfxZWkaEpBoCJq56RK,https://api.spotify.com/v1/audio-analysis/2PI3dfxZWkaEpBoCJq56RK,162541,4,44,165.94556666666668,PCP_Marathon,-0.9006835842102593,-0.6590875896736691
44,The Nights,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4,45,168.88986666666668,PCP_Marathon,-1.248314060064827,-0.3669763300590544
45,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,audio_features,02dRkCEc8Q5ch4TTcnLxOn,spotify:track:02dRkCEc8Q5ch4TTcnLxOn,https://api.spotify.com/v1/tracks/02dRkCEc8Q5ch4TTcnLxOn,https://api.spotify.com/v1/audio-analysis/02dRkCEc8Q5ch4TTcnLxOn,217099,4,46,172.50818333333333,PCP_Marathon,-0.9544678113654851,0.5446139490174109
46,Titanium (feat. Sia),0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,2dOTkLZFbpNXrhc24CnTFd,spotify:track:2dOTkLZFbpNXrhc24CnTFd,https://api.spotify.com/v1/tracks/2dOTkLZFbpNXrhc24CnTFd,https://api.spotify.com/v1/audio-analysis/2dOTkLZFbpNXrhc24CnTFd,245040,4,47,176.59218333333334,PCP_Marathon,-0.8640063627180979,-0.47325969782852023
47,Dancing On My Own,0.674,0.857,6,-5.328,1,0.0346,0.0557,0.196,0.0942,0.278,117.028,audio_features,6aqNCrRA7vs7v6QvRpI50t,spotify:track:6aqNCrRA7vs7v6QvRpI50t,https://api.spotify.com/v1/tracks/6aqNCrRA7vs7v6QvRpI50t,https://api.spotify.com/v1/audio-analysis/6aqNCrRA7vs7v6QvRpI50t,285854,4,48,181.35641666666666,PCP_Marathon,-0.6971235520205702,-0.9548278165851408
48,Ca plane pour moi,0.422,0.943,10,-4.365,1,0.0954,0.074,6.83e-05,0.105,0.845,165.764,audio_features,71yCMlsD6qbD7NmNUEoVNR,spotify:track:71yCMlsD6qbD7NmNUEoVNR,https://api.spotify.com/v1/tracks/71yCMlsD6qbD7NmNUEoVNR,https://api.spotify.com/v1/audio-analysis/71yCMlsD6qbD7NmNUEoVNR,182133,4,49,184.39196666666666,PCP_Marathon,-1.6192696202830998,-1.205547539689042
49,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",0.362,0.569,7,-15.394,0,0.0345,0.876,0.91,0.327,0.746,148.692,audio_features,2nnXe7n3Vivs7OfQKRsfWD,spotify:track:2nnXe7n3Vivs7OfQKRsfWD,https://api.spotify.com/v1/tracks/2nnXe7n3Vivs7OfQKRsfWD,https://api.spotify.com/v1/audio-analysis/2nnXe7n3Vivs7OfQKRsfWD,173427,3,50,187.28241666666668,PCP_Marathon,2.2486461809361953,0.4660972396845356
50,"Requiem in D Minor, K. 626: 3. Sequentia: Dies irae - Live",0.46,0.387,7,-13.384,0,0.0311,0.934,0.279,0.48,0.513,72.376,audio_features,2d7C38EFmRjhBoDVQlkBwq,spotify:track:2d7C38EFmRjhBoDVQlkBwq,https://api.spotify.com/v1/tracks/2d7C38EFmRjhBoDVQlkBwq,https://api.spotify.com/v1/audio-analysis/2d7C38EFmRjhBoDVQlkBwq,119000,4,51,189.26575,PCP_Marathon,2.088680360368641,2.680402555041323
51,Storm,0.507,0.415,7,-12.832,1,0.0366,0.35,0.859,0.0806,0.375,83.635,audio_features,6JNrZTngsgMzHVxKXAUt4A,spotify:track:6JNrZTngsgMzHVxKXAUt4A,https://api.spotify.com/v1/tracks/6JNrZTngsgMzHVxKXAUt4A,https://api.spotify.com/v1/audio-analysis/6JNrZTngsgMzHVxKXAUt4A,155563,3,52,191.85846666666666,PCP_Marathon,2.2918493084145473,0.11116226712550932
52,Dies Irae,0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,audio_features,3By9jCy6b4dv5XnlhvIWwx,spotify:track:3By9jCy6b4dv5XnlhvIWwx,https://api.spotify.com/v1/tracks/3By9jCy6b4dv5XnlhvIWwx,https://api.spotify.com/v1/audio-analysis/3By9jCy6b4dv5XnlhvIWwx,134747,4,53,194.10425,PCP_Marathon,4.009360541022359,0.7344993301127039
53,Is She With You? - Wonder Woman Theme,0.215,0.559,2,-15.129,0,0.0586,0.027,0.825,0.0861,0.0588,141.82,audio_features,4BFBElI73LzkLOBru4TKVv,spotify:track:4BFBElI73LzkLOBru4TKVv,https://api.spotify.com/v1/tracks/4BFBElI73LzkLOBru4TKVv,https://api.spotify.com/v1/audio-analysis/4BFBElI73LzkLOBru4TKVv,346744,1,54,199.88331666666667,PCP_Marathon,2.6108972001826873,-1.3467570007244618
54,Jolene - Destructo Remix,0.829,0.822,1,-5.909,0,0.238,0.0691,0.000363,0.551,0.552,122.057,audio_features,6XzM8wBEznCteSOdeHMyTE,spotify:track:6XzM8wBEznCteSOdeHMyTE,https://api.spotify.com/v1/tracks/6XzM8wBEznCteSOdeHMyTE,https://api.spotify.com/v1/audio-analysis/6XzM8wBEznCteSOdeHMyTE,308877,4,55,205.03126666666665,PCP_Marathon,-2.3825747442809897,2.352033094471108
55,Unstoppable,0.582,0.921,6,-3.452,0,0.254,0.000917,0.000231,0.358,0.426,120.152,audio_features,6Sg6Zpg3jKGhS0drWoawRt,spotify:track:6Sg6Zpg3jKGhS0drWoawRt,https://api.spotify.com/v1/tracks/6Sg6Zpg3jKGhS0drWoawRt,https://api.spotify.com/v1/audio-analysis/6Sg6Zpg3jKGhS0drWoawRt,156000,4,56,207.63126666666668,PCP_Marathon,-1.9949679682184653,1.5028916153166028
56,Un Deux (Summertime),0.858,0.417,11,-6.956,1,0.0499,0.0152,0.00527,0.119,0.486,127.994,audio_features,0TJKzmmVgS0tzUJqSXgY7x,spotify:track:0TJKzmmVgS0tzUJqSXgY7x,https://api.spotify.com/v1/tracks/0TJKzmmVgS0tzUJqSXgY7x,https://api.spotify.com/v1/audio-analysis/0TJKzmmVgS0tzUJqSXgY7x,146250,4,57,210.06876666666668,PCP_Marathon,-0.7569644752399798,-0.5190220434030043
57,Do It To It,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,audio_features,20on25jryn53hWghthWWW3,spotify:track:20on25jryn53hWghthWWW3,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3,https://api.spotify.com/v1/audio-analysis/20on25jryn53hWghthWWW3,157890,4,58,212.70026666666666,PCP_Marathon,-1.469051605148787,-0.5192179271765135
